"Line","BoardingTime","PassengerCount"
"KC06","2019-12-18T00:00",1
"LF09","2019-12-18T00:00",3
"TC93","2019-12-18T00:00",1
"TL94","2019-12-18T00:00",1
"TL94","2019-12-18T01:00",1
"VF01","2019-12-18T03:30",4
"AC03","2019-12-18T05:30",7
"AF04","2019-12-18T05:30",1
"DC15","2019-12-18T05:30",33
"DC15A","2019-12-18T05:30",10
"FL82","2019-12-18T05:30",6
"KC06","2019-12-18T05:30",3
"KL08","2019-12-18T05:30",21
"LF09","2019-12-18T05:30",4
"MF40","2019-12-18T05:30",1
"TC93","2019-12-18T05:30",6
"TCP45","2019-12-18T05:30",1
"VF01","2019-12-18T05:30",20
"VF02","2019-12-18T05:30",4
"511","2019-12-18T06:00",19
"AC03","2019-12-18T06:00",22
"AF04","2019-12-18T06:00",18
"AF04A","2019-12-18T06:00",9
"CV14","2019-12-18T06:00",25
"CV47","2019-12-18T06:00",10
"CV48","2019-12-18T06:00",2
"CV67","2019-12-18T06:00",10
"DC15","2019-12-18T06:00",44
"DC15A","2019-12-18T06:00",34
"FL82","2019-12-18T06:00",36
"KC06","2019-12-18T06:00",47
"KC33","2019-12-18T06:00",8
"KC35","2019-12-18T06:00",15
"KC35A","2019-12-18T06:00",5
"KF52","2019-12-18T06:00",21
"KL08","2019-12-18T06:00",56
"KM61","2019-12-18T06:00",15
"KPZ83","2019-12-18T06:00",8
"LC07","2019-12-18T06:00",5
"LF09","2019-12-18T06:00",60
"LF10","2019-12-18T06:00",37
"MC12","2019-12-18T06:00",30
"MF40","2019-12-18T06:00",38
"ML22","2019-12-18T06:00",30
"MZ78","2019-12-18T06:00",17
"TB72","2019-12-18T06:00",23
"TC16","2019-12-18T06:00",24
"TC16A","2019-12-18T06:00",12
"TC93","2019-12-18T06:00",10
"TCD49","2019-12-18T06:00",14
"TCP45","2019-12-18T06:00",28
"TK36","2019-12-18T06:00",13
"TL94","2019-12-18T06:00",10
"UC11","2019-12-18T06:00",21
"UC32","2019-12-18T06:00",3
"VC53","2019-12-18T06:00",15
"VC57","2019-12-18T06:00",5
"VC59","2019-12-18T06:00",19
"VF01","2019-12-18T06:00",107
"VF02","2019-12-18T06:00",62
"VF63","2019-12-18T06:00",8
"VF66","2019-12-18T06:00",45
"VL13","2019-12-18T06:00",41
"VL13A","2019-12-18T06:00",32
"VML54","2019-12-18T06:00",10
"VML55A","2019-12-18T06:00",14
"VS18","2019-12-18T06:00",53
"511","2019-12-18T06:30",65
"AC03","2019-12-18T06:30",78
"AF04","2019-12-18T06:30",91
"AF04A","2019-12-18T06:30",53
"CV14","2019-12-18T06:30",68
"CV47","2019-12-18T06:30",39
"CV48","2019-12-18T06:30",50
"CV67","2019-12-18T06:30",45
"DC15","2019-12-18T06:30",147
"DC15A","2019-12-18T06:30",142
"FL82","2019-12-18T06:30",53
"GM24","2019-12-18T06:30",51
"KC06","2019-12-18T06:30",121
"KC33","2019-12-18T06:30",23
"KC35","2019-12-18T06:30",30
"KC35A","2019-12-18T06:30",36
"KF52","2019-12-18T06:30",65
"KL08","2019-12-18T06:30",138
"KM61","2019-12-18T06:30",58
"KPZ83","2019-12-18T06:30",51
"LC07","2019-12-18T06:30",37
"LC07A","2019-12-18T06:30",21
"LF09","2019-12-18T06:30",132
"LF10","2019-12-18T06:30",144
"MC12","2019-12-18T06:30",56
"MF40","2019-12-18T06:30",72
"ML22","2019-12-18T06:30",52
"MZ78","2019-12-18T06:30",75
"TB72","2019-12-18T06:30",60
"TC16","2019-12-18T06:30",60
"TC16A","2019-12-18T06:30",65
"TC93","2019-12-18T06:30",25
"TCD49","2019-12-18T06:30",10
"TCD49A","2019-12-18T06:30",31
"TCP45","2019-12-18T06:30",74
